,n_killed,n_injured,latitude,longitude,Year,Month,Day,labels
217388,0,0,32.3774,-80.5694,2017,11,2,0
32497,0,1,41.795,-72.6968,2014,8,3,0
53546,0,1,40.2252,-111.664,2015,1,2,0
59401,0,0,39.294,-76.62,2015,3,3,0
224662,0,1,34.8602,-82.4621,2017,12,7,0
60724,1,0,43.0895,-87.9259,2015,3,6,0
205460,0,1,30.3358,-81.7646,2017,8,6,0
56265,0,1,41.6767,-85.9706,2015,2,3,0
164107,1,0,39.6563,-105.027,2016,12,5,0
222111,0,1,37.2155,-93.2952,2017,12,4,0
69871,0,1,42.2542,-85.6202,2015,5,4,0
129352,1,0,27.9471,-82.4596,2016,6,1,0
169020,0,0,36.7214,-119.8,2017,1,6,0
14633,0,0,43.121,-89.3224,2014,4,6,0
132219,0,0,20.8936,-156.438,2016,6,6,0
121267,1,0,42.2237,-121.789,2016,4,6,0
113778,0,0,45.2827,-122.321,2016,2,6,0
10751,0,0,35.2121,-89.909,2014,3,5,0
201048,1,1,41.0755,-81.5229,2017,7,1,0
39658,0,0,21.3258,-157.875,2014,10,4,0
184984,0,1,40.8772,-73.8592,2017,5,2,0
145702,0,0,40.9282,-74.1806,2016,9,7,0
99521,1,0,33.5013,-86.8938,2015,11,3,0
68185,0,0,40.9185,-74.1608,2015,5,7,0
204427,0,1,36.0563,-78.8889,2017,8,7,0
87539,0,1,40.8216,-73.8962,2015,8,2,0
15535,0,1,32.332,-86.3119,2014,5,7,0
7381,0,1,35.1092,-81.1824,2014,2,3,0
18570,0,1,39.9167,-83.8168,2014,5,1,0
113504,0,1,37.948,-122.508,2016,2,4,0
6189,0,1,40.0256,-79.5837,2014,2,6,0
53609,1,0,41.8239,-87.6191,2015,1,3,0
66329,0,2,38.2511,-85.7778,2015,4,1,0
122054,0,0,42.502,-96.416,2016,4,3,0
197695,1,0,41.196,-75.3696,2017,7,3,0
141051,0,1,41.7979,-71.4144,2016,8,2,0
235717,0,0,40.2878,-76.8906,2018,3,3,0
67247,0,1,33.8725,-117.908,2015,4,1,0
94718,1,2,35.0826,-84.3152,2015,10,7,0
102056,0,0,29.4879,-98.5816,2015,12,1,0
142432,1,0,35.7453,-86.7628,2016,8,2,0
9565,0,0,35.2144,-80.9473,2014,3,2,0
183310,0,0,35.8994,-120.956,2017,4,7,0
237142,0,0,40.9229,-74.1696,2018,3,5,0
66207,0,1,38.0421,-84.4664,2015,4,7,0
1327,0,0,30.7259,-88.0945,2014,1,4,0
176299,1,0,30.2324,-85.9096,2017,3,3,0
78759,0,1,40.8348,-73.9041,2015,7,4,0
43687,1,0,33.9443,-98.674,2014,10,1,0
123936,0,1,36.5092,-87.308,2016,5,1,0
233968,0,1,41.6333,-72.457,2018,2,5,0
80685,0,0,36.7384,-119.825,2015,7,2,0
152540,0,2,30.5446,-88.174,2016,10,7,0
7960,0,0,34.835,-92.4603,2014,3,2,0
60157,0,1,42.4154,-82.9998,2015,3,2,0
197197,0,0,34.21,-118.319,2017,7,7,0
34070,1,0,47.2409,-122.445,2014,8,6,0
19937,0,1,27.461,-80.3411,2014,6,3,0
175332,0,0,37.9628,-87.5443,2017,3,3,0
27527,0,0,39.296,-76.5802,2014,7,3,0
202280,0,1,37.5218,-77.4375,2017,8,1,0
84338,0,0,35.5908,-77.3946,2015,8,3,0
155674,0,4,35.061,-90.0037,2016,11,4,0
96493,0,0,30.3903,-91.2546,2015,10,4,0
111156,0,0,42.1111,-72.5841,2016,2,1,0
78648,0,1,36.8466,-76.2806,2015,7,3,0
105652,0,0,29.9551,-90.0747,2015,12,5,0
69106,0,1,30.2143,-81.6162,2015,5,6,0
66837,2,0,38.2088,-85.8111,2015,4,5,0
143246,1,0,40.4448,-79.8282,2016,8,7,0
161395,0,1,41.877,-87.7353,2016,12,3,0
105467,1,0,33.4395,-112.096,2015,12,4,0
33818,0,0,38.0567,-84.4857,2014,8,4,0
108267,0,1,40.6144,-74.0784,2016,1,1,0
49735,0,1,41.7511,-87.6137,2014,12,7,0
117196,0,1,41.8502,-71.4031,2016,3,7,0
192494,1,1,41.7431,-87.6551,2017,6,2,0
203931,1,0,41.8481,-87.7004,2017,8,4,0
228155,0,0,39.1179,-84.5778,2018,1,2,0
227539,0,0,30.4976,-91.1415,2018,1,5,0
118202,1,0,32.5103,-84.9314,2016,3,7,0
3083,0,4,38.7739,-77.5016,2014,1,2,0
59585,0,0,39.3565,-84.0967,2015,3,4,0
40917,0,0,35.3856,-81.3901,2014,10,5,0
214195,0,0,41.7251,-74.4568,2017,10,4,0
185324,0,0,29.2528,-81.0554,2017,5,4,0
38087,1,0,32.6904,-97.2814,2014,9,1,0
174512,0,2,39.8819,-82.8286,2017,3,5,0
54964,0,0,40.6949,-74.0911,2015,1,6,0
129814,0,0,32.7791,-79.9381,2016,6,4,0
210914,0,0,42.0798,-78.4525,2017,9,6,0
112965,0,0,42.521,-88.9835,2016,2,7,0
184543,0,1,32.9372,-79.7114,2017,4,7,0
222378,2,0,37.263,-104.976,2017,12,6,0
193604,0,1,37.8151,-122.359,2017,6,1,0
58609,3,0,35.254,-80.822,2015,2,3,0
109558,1,0,34.1339,-117.269,2016,1,4,0
180666,0,0,39.7264,-75.6536,2017,4,7,0
502,0,0,43.5848,-116.554,2014,1,5,0
